,t=0.816,t=0.650,t=0.503,t=0.375,t=0.266,t=0.176,t=0.104,t=0.051,t=0.017,t=0.001,image_amplitude
t=0.816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035
t=0.650,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118
t=0.503,-0.0,-0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276
t=0.375,-0.0,0.52,-0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487
t=0.266,0.0,0.2,0.4,-0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.694
t=0.176,0.0,0.0,0.2,0.4,-0.2,1.0,0.0,0.0,0.0,0.0,0.85
t=0.104,0.0,0.0,0.0,-0.0,0.35,-0.15,1.0,0.0,0.0,0.0,0.943
t=0.051,0.0,0.0,0.0,0.0,-0.0,0.37,-0.2,1.0,0.0,0.0,0.985
t=0.017,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-0.33,1.0,0.0,0.998
t=0.001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.05,-0.34,1.0,1.0
