,t=0.875,t=0.758,t=0.650,t=0.550,t=0.459,t=0.375,t=0.300,t=0.234,t=0.176,t=0.126,t=0.084,t=0.051,t=0.026,t=0.009,t=0.001,image_amplitude
t=0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021
t=0.758,0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055
t=0.650,0.1,0.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118
t=0.550,0.0,0.2,0.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216
t=0.459,0.0,0.0,0.2,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343
t=0.375,0.0,0.3,-0.14,0.56,-0.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487
t=0.300,0.0,0.0,0.23,-0.06,0.3,-0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629
t=0.234,0.0,0.0,0.0,0.26,-0.01,0.85,-0.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753
t=0.176,0.0,0.0,0.0,0.0,0.25,-0.0,0.82,-0.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
t=0.126,0.0,0.0,0.0,0.0,0.0,0.23,-0.02,0.9,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.919
t=0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.04,0.7,-0.4,1.0,0.0,0.0,0.0,0.0,0.961
t=0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,-0.07,0.62,-0.66,1.0,0.0,0.0,0.0,0.985
t=0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-0.09,0.57,-0.88,1.0,0.0,0.0,0.995
t=0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,-0.11,0.31,-0.49,1.0,0.0,0.999
t=0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.11,0.24,-0.31,1.0,1.0
